,店內開盒遊戲列表,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,分類,標籤1,標籤2,標籤3
四方之地：印加帝國,ㄙ,Tawantinsuyu: The Inca Empire,中,1-4,J3,7.6,3-4,60-120,4.07,https://boardgamegeek.com/boardgame/306481/tawantinsuyu-inca-empire,烏嘎嘎,,,,,,
密涅瓦,ㄇ,Minerva,日,1-4,J4,7.1,M,60-90,2.68,https://boardgamegeek.com/boardgame/175695/minerva,烏嘎嘎,,,,,,
欲罷不能．極速版,ㄩ,CAN'T STOP EXPRESS,中,1-4,J5,6.2,N/A,30,1.36,https://boardgamegeek.com/boardgame/217547/cant-stop-express,烏嘎嘎,v,,,,,
絕頂聰明,ㄐ,GANZ SCHÖEN CLEVER,中,1-4,J5,7.8,1-2,30,2.17,https://boardgamegeek.com/boardgame/287988/ganz-schon-clever-challenge-i,烏嘎嘎,v,,,,,
小小鐵路帝國 ,ㄒ,Small Railroad Empires,中,1-4,J5,6.9,4,30-60,2.2,https://boardgamegeek.com/boardgame/299178/small-railroad-empires,烏嘎嘎,,,,,,
雙倍聰明,ㄕ,DOPPELT SO CLEVER,中,1-4,J5,7.5,2,30,2.35,https://boardgamegeek.com/boardgame/269210/twice-clever,烏嘎嘎,,,,,,
三倍聰明,ㄙ,Clever hoch Drei,德,1-4,J5,7.6,2,30,2.51,https://boardgamegeek.com/boardgame/316546/clever-cubed,烏嘎嘎,,,,,,
迷你花園,ㄇ,Mini Garden ,中,1-4,J6,7.1,2-4,15,1,https://boardgamegeek.com/boardgame/269729/mini-garden,烏嘎嘎,,,,,,
蟲蟲拍拍,ㄔ,Prairie of Beetles,中,1-4,J6,5.7,N/A,10,N/A,https://boardgamegeek.com/boardgame/269732/prairie-beetles,烏嘎嘎,,,,,,
狗狗特技團,ㄍ,Doggy Go!,中,1-4,J7,6.3,N/A,15,1,https://boardgamegeek.com/boardgame/168446/doggy-go ,烏嘎嘎,,,,,,
火柴盒系列 移柴接木,ㄏ,SixStix,中,1-4,J7,6.3,"1,3",30,1.5,https://boardgamegeek.com/boardgame/194438/sixstix,烏嘎嘎,,,,,,
薄荷工廠,ㄅ,Mint Works,中,1-4,J7,7,N/A,10-20,1.7,https://boardgamegeek.com/boardgame/200077/mint-works,烏嘎嘎,,,,,,
忙碌廚房,ㄇ,Kitchen Rush,中,1-4,J8,7.3,4,30-45,2.21,https://boardgamegeek.com/boardgame/223953/kitchen-rush,烏嘎嘎,,,,,,
帝國拓荒者：北方帝國,ㄉ,Imperial Settlers: Empires of the North,中,1-4,J8,7.5,2,45-90,2.83,https://boardgamegeek.com/boardgame/270844/imperial-settlers-empires-north,烏嘎嘎,,,,,,
巴西帝國,ㄅ,Brazil: Imperial,中,1-4,K2,8.1,4,100,3.05,https://boardgamegeek.com/boardgame/249277/brazil-imperial,烏嘎嘎,,,,,,
瘋狂爆爆糖,ㄈ,Sugar Blast,中,1-4,K4,5.9,3,20,1,https://boardgamegeek.com/boardgame/261449/sugar-blast,烏嘎嘎,,,,,,
加勒多尼亞,ㄐ,Clans of Caledonia,英,1-4,K4,8.2,4,30-120,3.42,https://boardgamegeek.com/boardgame/216132/clans-caledonia,曾小魁,,,,,,
五彩圖層,ㄨ,Layers,中,1-4,K7,6.4,4,20-30,1,https://boardgamegeek.com/boardgame/242616/layers,烏嘎嘎,,,,,,
飆速8連線,ㄅ,Flash 8,中,1-4,K7,7,3,10-15,1,https://boardgamegeek.com/boardgame/288284/flash-8,烏嘎嘎,,,,,,
金甲蟲之謎,ㄐ,Scarabya,中,1-4,K7,6.6,4,15-20,1.29,https://boardgamegeek.com/boardgame/244330/scarabya,烏嘎嘎,,,,,,
水下城市,ㄕ,Underwater Cities,中,1-4,K8,8.1,2,80-150,3.6,https://boardgamegeek.com/boardgame/247763/underwater-cities,烏嘎嘎,,,,,,
阿克萊特,ㄚ,Arkwright,中,1-4,K8,7.2,3-4,60-100,3.92,https://boardgamegeek.com/boardgame/300664/arkwright-card-game,烏嘎嘎,,,,,,
特奧蒂瓦坎：眾神之城,ㄊ,Teotihuacan: City of Gods,中,1-4,L4,7.9,4,90-120,3.77,https://boardgamegeek.com/boardgame/229853/teotihuacan-city-gods,豪豪,,,,,,
文藝復興大師,ㄨ,Masters of Renaissance,中,1-4,L5,7.2,2,30-45,2.09,https://boardgamegeek.com/boardgame/280453/masters-renaissance-lorenzo-il-magnifico-card-game,烏嘎嘎,,,,,,
時間守望革新：深海計畫,ㄕ,TIME Stories Revolution: The Hadal Project,中,1-4,L5,7.2,4,180,2.55,https://boardgamegeek.com/boardgame/287742/time-stories-revolution-hadal-project,烏嘎嘎,,,,,,
殖民火星：阿瑞斯探險隊－卡牌版,ㄓ,Terraforming Mars: Ares Expedition,中,1-4,L5,7.8,3,45-60,2.89,https://boardgamegeek.com/boardgame/328871/terraforming-mars-ares-expedition,烏嘎嘎,,,,,,
時間守望革新：復興,ㄕ,TIME Stories Revolution: Experience,中,1-4,L5,7.1,1,180,3,https://boardgamegeek.com/boardgame/284819/time-stories-revolution-experience,烏嘎嘎,,,,,,
