,店內開盒遊戲列表,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
中文名稱,注音索引,英文名稱,語言版本,遊戲人數,放置櫃位,BGG玩家評分,BGG建議最佳人數,BGG遊戲時間(分鐘),BGG遊戲難度,BGG連結,所有人,店內熱門,定價,租金,分類,標籤1,標籤2,標籤3,貼紙,圖片,教學,出處,玩家模式,遊戲簡介
月神,ㄩ,Luna,英,1-4,F2,7.4,4,60-100,3.34,https://boardgamegeek.com/boardgame/70512/luna,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
拉格蘭莊園,ㄉ,La Granjra,英,1-4,F2,7.7,4,90-120,3.59,https://boardgamegeek.com/boardgame/146886/la-granja,烏嘎嘎,,,,策略,重策,,,紅色,,,,超燒腦,
數字9乘塔,ㄕ,NMBR9,中,1-4,F3,6.9,3-4,20,1.21,https://boardgamegeek.com/boardgame/217449/nmbr-9,烏嘎嘎,,990,100,抽象,板塊拼放,,,綠色,v,,,,
唐吉軻德,ㄊ,Don Quixote,英,1-4,F3,6.1,1,20,1.64,https://boardgamegeek.com/boardgame/65990/don-quixote,烏嘎嘎,,,,抽象,板塊拼放,,,綠色,,,,,
聖家族大教堂,ㄕ,Sagrada,中,1-4,F3,7.6,2,30-45,1.86,https://boardgamegeek.com/boardgame/199561/sagrada,烏嘎嘎,,850,100,策略,輕策,,,綠色,v,,,,
自然法則,ㄗ,CODEX Naturalis,中,1-4,F4,7.2,4,20-30,1.84,https://boardgamegeek.com/boardgame/314503/codex-naturalis,烏嘎嘎,,800,100,策略,輕策,,,綠色,v,,,,
諾亞星球,ㄋ,Noah Planet,中,1-4,F4,7.3,N/A,30-75,2,https://boardgamegeek.com/boardgame/342258/noah-planet,烏嘎嘎,,790,100,策略,輕策,,,綠色,v,https://youtu.be/eawDKNkVfu0?si=Xu93QrjPbRUVknUo,逸馬的桌遊小教室,,
流轉大地,ㄌ,Terra Shifter,中,1-4,F4,7.7,N/A,20-40,2.5,https://boardgamegeek.com/boardgame/229131/terra-shifter,烏嘎嘎,,550,100,抽象,,,,綠色,v,https://youtu.be/03q9SNVzbHw?si=915D53P5wm66q7J1,逸馬的桌遊小教室,,
矮人王國 寒霜凜冬,ㄞ,Dwar7s Winter,英,1-4,F5,6.8,4,30-45,2.75,https://boardgamegeek.com/boardgame/241334/dwar7s-winter,巴仔,,,,策略,,,,紅色,,,,超燒腦,
瘋狂科學家,ㄈ ,Dr. Eureka,中,1-4,G4,6.7,2-4,15,1.12,https://boardgamegeek.com/boardgame/181345/dr-eureka,烏嘎嘎,,890,100,兒童,,,,綠色,v,,,輕鬆,
陰屍路,ㄧ,The Walking Dead Board Game,英,1-4,2F,5.1,4,45,1.75,https://boardgamegeek.com/boardgame/99079/walking-dead-board-game,小豬,,,,小品,,,,紅色,,,,,
俠鼠魔途,ㄒ,Mice and Mystics,英,1-4,2F,7.4,4,120,2.66,https://boardgamegeek.com/boardgame/124708/mice-and-mystics,比爾,,990,100,RPG,,,,紅色,v,,,,
溫達克,ㄨ,Wendake,英,1-4,2F,7.9,4,60-120,3.58,https://boardgamegeek.com/boardgame/229265/wendake,豪豪,,,,策略,重策,,,紅色,,,,超燒腦,
聖瑪莉亞號,ㄕ,Santa Maria,英,1-4,H1,7.8,3,45-90,2.96,https://boardgamegeek.com/boardgame/229220/santa-maria,豪豪,,,,策略,中策,,,黃色,,,,,
夢境之地,ㄇ,Dreamscape,中,1-4,H1,7.5,2,60-90,3.15,https://boardgamegeek.com/boardgame/231038/dreamscape,烏嘎嘎,,,,策略,中策,,,黃色,,,,,
推理事件簿-無冕正義1900,ㄊ,Chronicles of Crime: 1900,中,1-4,H3,8.2,1-1,60-90,1.83,https://boardgamegeek.com/boardgame/302098/chronicles-crime-1900,烏嘎嘎,,1080,150,解謎,偵探,,,綠色,v,,,,
推理事件簿：紅景鎮迷蹤,ㄊ,Chronicles of Crime: Welcome to Redvie,中,1-4,H3,7.6,2,30-90,1.91,https://boardgamegeek.com/boardgameexpansion/258089/chronicles-crime-welcome-redview,烏嘎嘎,,790,100,解謎,偵探,,,綠色,v,,,,
推理事件簿：黑幕,ㄊ,Chronicles of Crime: Noir,中,1-4,H3,8,2,60-90,2,https://boardgamegeek.com/boardgameexpansion/249811/chronicles-crime-noir,烏嘎嘎,,790,100,解謎,偵探,,,綠色,v,,,,
推理事件簿-叛客俠道2400,ㄊ,Chronicles of Crime: 2400,中,1-4,H3,8.1,2,60-90,2,https://boardgamegeek.com/boardgame/302312/chronicles-crime-2400,烏嘎嘎,,1080,150,解謎,偵探,,,綠色,v,,,,
推理事件簿,ㄊ,Chronicles of Crime,中,1-4,H3,7.7,2,60-90,2.07,https://boardgamegeek.com/boardgame/239188/chronicles-crime,烏嘎嘎,v,1180,150,解謎,偵探,,,綠色,v,https://youtu.be/JPETtZs3bYk?si=3qmTR3fZl4iWksFt,逸馬的桌遊小教室,,
推理事件簿-騎士信條1400,ㄊ,Chronicles of Crime: 1400,中,1-4,H3,7.9,2,60-90,2.12,https://boardgamegeek.com/boardgame/300300/chronicles-crime-1400,烏嘎嘎,,1080,150,解謎,偵探,,,綠色,v,,,,
仙境幽谷：珍珠溪,ㄒ,Everdell: Pearlbrook,中,1-4,H3,7.7,3,40-80,2.76,https://boardgamegeek.com/boardgameexpansion/259996/everdell-pearlbrook,烏嘎嘎,,2000,200,策略,中策,手牌管理,工人擺放,黃色,v,,,,
仙境幽谷,ㄒ,Everdell,中,1-4,H3,8.1,3,40-80,2.81,https://boardgamegeek.com/boardgame/199792/everdell,烏嘎嘎,,2400,250,策略,中策,手牌管理,工人擺放,黃色,v,https://youtu.be/zBl7ISxMPFg?si=0arPJA530dP1sZm6,逸馬的桌遊小教室,,
時空亂序,ㄕ,Anachrony,中,1-4,I1,8.2,3,30-120,3.93,https://boardgamegeek.com/boardgame/185343/anachrony,豪豪,,2800,300,策略,重策,工人擺放,,紅色,v,,,超燒腦,
里斯本,ㄌ,Lisboa,英,1-4,I1,8.2,3,60-120,4.51,https://boardgamegeek.com/boardgame/161533/lisboa,豪豪,,,,策略,,,,紅色,,,,超燒腦,
馬約利卡,ㄇ,Majolica,中,1-4,I2,6.9,2-3,40,2.83,https://boardgamegeek.com/boardgame/258041/majolica,豪豪,,990,100,策略,,,,紅色,v,https://youtu.be/8DUlAccqimU?si=6tEV3QIk1F1mX-Ie,逸馬的桌遊小教室,超燒腦,
格陵蘭島,ㄍ,Greenland (Third Edition),中,1-4,I2,7.3,N/A,60-120,3.58,https://boardgamegeek.com/boardgame/266447/greenland-third-edition,豪豪,,,,策略,,,,紅色,,,,超燒腦,
薩凡納公園,ㄙ,Savannah Park,中,1-4,I4,7.2,2-3,20-40,1.7,https://boardgamegeek.com/boardgame/339484/savannah-park,烏嘎嘎,,1350,150,策略,輕策,,,綠色,v,,,,
恐龍島,ㄎ,Dinosaur Island,中,1-4,J2,7.7,3-4,90-120,3.03,https://boardgamegeek.com/boardgame/221194/dinosaur-island,烏嘎嘎,,2500,250,策略,重策,,,紅色,v,,,超燒腦,
中世紀：時代紀元,ㄓ,Era: Medieval Age,中,1-4,J3,7.3,"2,4",45-60,2.33,https://boardgamegeek.com/boardgame/270971/era-medieval-age,烏嘎嘎,,2200,250,策略,輕策,,,黃色,v,,,,
唐苑,ㄊ,Tang Garden,中,1-4,J3,7.5,3,40-60,2.61,https://boardgamegeek.com/boardgame/252153/tang-garden,烏嘎嘎,,1980,200,策略,,,,黃色,v,,,,
聖瓦西里大教堂,ㄕ,The Red Cathedral,中,1-4,J3,7.8,3,80,2.8,https://boardgamegeek.com/boardgame/227224/red-cathedral,烏嘎嘎,,1280,150,策略,,,,黃色,v,,,,
華麗開演,ㄏ,The Magnificent ,中,1-4,J3,7.6,,60-90,3.14,https://boardgamegeek.com/boardgame/283863/magnificent,烏嘎嘎,,,,策略,,,,紅色,,,,超燒腦,
四方之地：印加帝國,ㄙ,Tawantinsuyu: The Inca Empire,中,1-4,J3,7.6,3-4,60-120,4.07,https://boardgamegeek.com/boardgame/306481/tawantinsuyu-inca-empire,烏嘎嘎,,,,策略,,,,紅色,,,,超燒腦,
